MOVIE_NM,DRCTR_NM,MAKR_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM,CRITIC_RT,VIEWER_RT
구르는 수레바퀴,문정윤,아방가르드 필름,아방가르드 필름,20200923,개봉영화,장편,한국,4.0,8510000.0,1072.0,8419000.0,1060.0,가족,12세이상관람가,독립/예술영화,7.0,9.28
디바,조슬예,"영화사올(주),팔팔애비뉴(주)",메가박스중앙(주)플러스엠,20200923,개봉영화,장편,한국,831.0,901717350.0,108122.0,258175260.0,31164.0,스릴러,15세이상관람가,일반영화,5.59,7.44
다시 만난 날들,심찬양,(주)푸른나무픽쳐스,(주)영화사오원,20200924,개봉영화,장편,한국,105.0,37245780.0,4176.0,21955430.0,2284.0,뮤지컬,12세이상관람가,독립/예술영화,6.0,9.36
브레이크 더 사일런스: 더 무비,박준수,(주)하이브쓰리식스티,CGV ICECON,20200924,개봉영화,장편,한국,205.0,1160249000.0,131693.0,377329000.0,41301.0,다큐멘터리,전체관람가,일반영화,6.0,9.3
국제수사,김봉한,(주)영화사장춘,(주)쇼박스,20200929,개봉영화,장편,한국,1074.0,4496549760.0,537470.0,868003360.0,103185.0,코미디,15세이상관람가,일반영화,3.6,4.65
"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",,씨제이포디플렉스 주식회사,씨제이포디플렉스 주식회사,20200929,개봉영화,장편,한국,106.0,3129974000.0,102008.0,986730500.0,31301.0,공연,전체관람가,일반영화,5.59,9.43
담보,강대규,"(주)제이케이필름,(주)레드로버,(주)씨제이이엔엠,(주)영화사연",(주)씨제이이엔엠,20200929,개봉영화,장편,한국,1342.0,14749871550.0,1719706.0,2689581450.0,305921.0,드라마,12세이상관람가,일반영화,5.2,8.97
죽지않는 인간들의 밤,신정원,"(주)브라더픽쳐스,TCO(주)더콘텐츠온",TCO(주)더콘텐츠온,20200929,개봉영화,장편,한국,570.0,840217440.0,101616.0,234955440.0,27911.0,코미디,15세이상관람가,일반영화,5.75,6.42
극장판 미니특공대: 햄버거괴물의 습격,이영준,(주)삼지애니메이션,(주)리틀빅픽쳐스,20200930,개봉영화,장편,한국,414.0,465849080.0,57857.0,77247430.0,9126.0,애니메이션,전체관람가,일반영화,6.0,8.55
밥정,박혜령,(주)하얀소엔터테인먼트,(주)엣나인필름,20201007,개봉영화,장편,한국,182.0,123204940.0,15650.0,76969530.0,9458.0,다큐멘터리,전체관람가,독립/예술영화,7.0,9.6
마음 울적한 날엔,"한유원,강동완,김남석",,필름다빈,20201008,개봉영화,장편,한국,1.0,403000.0,44.0,370000.0,39.0,드라마,12세이상관람가,독립/예술영화,5.0,9.17
부활: 그 증거,김상철,파이오니아21,(주)영화사 진진,20201008,개봉영화,장편,한국,111.0,231971100.0,28534.0,45807200.0,5497.0,다큐멘터리,전체관람가,독립/예술영화,4.0,9.26
스윈들러,이동환,환필름,(주)이놀미디어,20201008,개봉영화,장편,한국,16.0,2634000.0,330.0,1654500.0,201.0,드라마,15세이상관람가,독립/예술영화,5.0,5.76
피원에이치 : 새로운 세계의 시작,창,"(주)에프엔씨스토리,(주)창픽쳐스",롯데컬처웍스(주)롯데엔터테인먼트,20201008,개봉영화,장편,한국,87.0,21109200.0,2284.0,12031200.0,1223.0,드라마,15세이상관람가,일반영화,5.0,5.29
나의이름,허동우,(주)뉴데이픽쳐스,시네마 뉴원,20201014,개봉영화,장편,한국,38.0,6997500.0,833.0,4819500.0,560.0,멜로/로맨스,12세이상관람가,독립/예술영화,5.0,7.34
돌멩이,김정식,(주)영화사테이크,(주)리틀빅픽쳐스,20201015,개봉영화,장편,한국,425.0,146373400.0,17632.0,53950130.0,6044.0,드라마,12세이상관람가,독립/예술영화,4.67,6.61
소리도 없이,홍의정,"(주)루이스 픽쳐스,(주)브로콜리픽쳐스",(주)에이스메이커무비웍스,20201015,개봉영화,장편,한국,1084.0,3558622900.0,403432.0,843075990.0,93396.0,범죄,15세이상관람가,일반영화,7.0,5.92
알피니스트 - 어느 카메라맨의 고백,"임일진,김민철",민치앤필름,민치앤필름,20201015,개봉영화,장편,한국,21.0,18762430.0,2316.0,11944030.0,1451.0,다큐멘터리,12세이상관람가,독립/예술영화,6.0,9.62
犬견 : 버려진 아이들,서하늘,바라봄엔터테인먼트,주식회사 씨엠닉스,20201018,개봉영화,장편,한국,1.0,996000.0,315.0,,,범죄,15세이상관람가,독립/예술영화,5.59,5.82
삼진그룹 영어토익반,이종필,더램프(주),롯데컬처웍스(주)롯데엔터테인먼트,20201021,개봉영화,장편,한국,1616.0,13981700470.0,1571336.0,3943279840.0,443980.0,드라마,12세이상관람가,일반영화,7.0,8.25
디어 마이 지니어스,구윤주,오엠지프로덕션,필름다빈,20201022,개봉영화,장편,한국,14.0,10582400.0,1807.0,4748900.0,711.0,다큐멘터리,전체관람가,독립/예술영화,6.33,9.56
미스터트롯: 더 무비,전수경,(주)영화사 그램,(주)영화사 그램,20201022,개봉영화,장편,한국,449.0,1288555100.0,150065.0,356326100.0,41283.0,공연,전체관람가,일반영화,5.0,8.84
종이꽃,고훈,"(주)로드픽쳐스,㈜스토리셋",(주)스튜디오 보난자,20201022,개봉영화,장편,한국,256.0,61388310.0,7323.0,23165270.0,2624.0,드라마,12세이상관람가,독립/예술영화,5.33,8.99
담쟁이,한제이,다이노(DIE NO),(주)트리플픽쳐스,20201028,개봉영화,장편,한국,93.0,33705130.0,4258.0,19435220.0,2347.0,가족,15세이상관람가,독립/예술영화,6.0,8.03
젊은이의 양지,신수원,(주)준필름,(주)리틀빅픽쳐스,20201028,개봉영화,장편,한국,108.0,44082770.0,5199.0,28739100.0,3315.0,드라마,15세이상관람가,독립/예술영화,5.43,7.97
황무지 5월의 고해,김태영,(주)인디컴,시네마 뉴원,20201028,개봉영화,장편,한국,39.0,10624500.0,1314.0,6788000.0,824.0,드라마,15세이상관람가,독립/예술영화,6.0,6.95
웰컴 투 X-월드,한태의,(주)시네마달,(주)시네마달,20201029,개봉영화,장편,한국,23.0,16522400.0,2064.0,12760900.0,1444.0,다큐멘터리,전체관람가,독립/예술영화,6.5,9.02
러브라인,"오두경,김성훈,권아영,정다이",주식회사 씨엠닉스,주식회사 씨엠닉스,20201101,개봉영화,장편,한국,1.0,221000.0,78.0,221000.0,78.0,기타,15세이상관람가,독립/예술영화,5.59,8.73
우리 안의 그들,"김태진,송원준,이진영",주식회사 씨엠닉스,주식회사 씨엠닉스,20201101,개봉영화,장편,한국,1.0,147000.0,61.0,147000.0,61.0,기타,12세이상관람가,독립/예술영화,5.59,8.33
도굴,박정배,(주)싸이런픽쳐스,(주)씨제이이엔엠,20201104,개봉영화,장편,한국,1635.0,13751660410.0,1522046.0,3195119960.0,351298.0,범죄,12세이상관람가,일반영화,5.0,7.24
앙상블,정형석,"닷 팩토리,전주 영상위원회","(주)스톰픽쳐스코리아,와이드 릴리즈(주)",20201105,개봉영화,장편,한국,52.0,10376610.0,1140.0,6412540.0,678.0,드라마,12세이상관람가,독립/예술영화,5.0,7.0
구직자들,황승재,주식회사인시즌,(주)이놀미디어,20201112,개봉영화,장편,한국,29.0,8404650.0,920.0,5921080.0,631.0,SF,전체관람가,독립/예술영화,4.0,7.16
내가 죽던 날,박지완,오스카10스튜디오,워너브러더스 코리아(주),20201112,개봉영화,장편,한국,909.0,2135396020.0,233112.0,549836600.0,58772.0,드라마,12세이상관람가,일반영화,6.5,8.01
애비규환,최하나,"(주)아토,(주)모토",(주)리틀빅픽쳐스,20201112,개봉영화,장편,한국,453.0,206423800.0,22680.0,95842940.0,9963.0,드라마,12세이상관람가,독립/예술영화,6.25,6.7
증발,김성민,미들,㈜인디스토리,20201112,개봉영화,장편,한국,35.0,28609300.0,3915.0,17327100.0,2147.0,다큐멘터리,전체관람가,독립/예술영화,5.59,7.44
봉쇄수도원 카르투시오,김동일,"KBS,커넥트픽쳐스(주),피엠픽쳐스",커넥트픽쳐스(주),20201119,개봉영화,장편,한국,125.0,40231710.0,4732.0,18232890.0,2074.0,다큐멘터리,전체관람가,독립/예술영화,6.5,9.41
추억의 검정고무신,송정율,(주)대교 미디어콘텐츠사업본부,(주)대교 미디어콘텐츠사업본부,20201119,개봉영화,장편,한국,215.0,156845100.0,19531.0,23854500.0,2665.0,애니메이션,전체관람가,독립/예술영화,5.0,5.76
이웃사촌,이환경,"(주)시네마허브,환타지엔터테인먼트","(주)리틀빅픽쳐스,(주)트리니티픽쳐스",20201125,개봉영화,장편,한국,1363.0,3648397960.0,424864.0,765632610.0,90138.0,드라마,12세이상관람가,일반영화,5.0,6.07
인플루언서,오영근,(주)인터오리진아이엔씨,(주)인터오리진아이엔씨,20201125,개봉영화,장편,한국,7.0,2292900.0,229.0,1739000.0,164.0,다큐멘터리,전체관람가,일반영화,5.59,7.44
에듀케이션,김덕중,"(주)타이거시네마,DGC",영화배급협동조합 씨네소파,20201126,개봉영화,장편,한국,23.0,7116670.0,836.0,5272470.0,569.0,드라마,12세이상관람가,독립/예술영화,7.0,6.57
잔칫날,김록경,스토리텔러 픽처스,(주)트리플픽쳐스,20201202,개봉영화,장편,한국,240.0,82051490.0,10648.0,30509320.0,4092.0,드라마,12세이상관람가,독립/예술영화,6.14,8.83
내언니전지현과 나,박윤진,,호우주의보,20201203,개봉영화,장편,한국,36.0,15918800.0,1836.0,11531030.0,1253.0,다큐멘터리,12세이상관람가,독립/예술영화,6.67,9.14
"이별유예, 일주일",김규현,(주)에스비에스미디어넷,(주)유어스토리블루,20201209,개봉영화,장편,한국,29.0,7586000.0,779.0,3386500.0,348.0,드라마,15세이상관람가,일반영화,5.59,8.64
겨울밤에,장우진,봄내필름,㈜인디스토리,20201210,개봉영화,장편,한국,49.0,10111970.0,1174.0,6463570.0,711.0,드라마,12세이상관람가,독립/예술영화,7.33,6.34
마지막 휴가,노거경,거경필름,(주)드림팩트엔터테인먼트,20201210,개봉영화,장편,한국,11.0,8849000.0,1075.0,5607000.0,701.0,기타,15세이상관람가,독립/예술영화,3.0,7.35
머리카락,이미해,스튜디오 파동,"목영이엔엠,(주)다자인소프트",20201210,개봉영화,장편,한국,12.0,2505670.0,279.0,1936070.0,204.0,다큐멘터리,전체관람가,독립/예술영화,4.75,8.3
스웨그,임성관,(주)퍼플스트로우필름,(주)영화사오원,20201210,개봉영화,장편,한국,118.0,25739180.0,2713.0,14410060.0,1497.0,드라마,15세이상관람가,독립/예술영화,4.0,9.23
조제,김종관,볼미디어(주),워너브러더스 코리아(주),20201210,개봉영화,장편,한국,1179.0,1673461570.0,186651.0,417134090.0,45870.0,멜로/로맨스,15세이상관람가,일반영화,5.71,6.58
뮤직 앤 리얼리티,"빅 포니,스티브 리",(주)보더리스필름,"(주)미로스페이스,(주)스튜디오 보난자",20201223,개봉영화,장편,한국,38.0,9197950.0,1059.0,6179680.0,692.0,드라마,12세이상관람가,독립/예술영화,5.0,9.39
미스터 보스,김형기,"(주)더 재미,대쉬 필름,강천산 픽쳐스","(주)스톰픽쳐스코리아,와이드 릴리즈(주)",20201230,개봉영화,장편,한국,226.0,14711600.0,1954.0,3874370.0,540.0,드라마,15세이상관람가,일반영화,3.67,5.63
선샤인 패밀리,김태식,필름라인,시네마 뉴원,20201231,개봉영화,장편,한국,26.0,1168100.0,133.0,842600.0,93.0,드라마,12세이상관람가,독립/예술영화,5.59,7.57
족벌 두 신문 이야기,"김용진,박중석",뉴스타파 필름,(주)엣나인필름,20210101,개봉영화,장편,한국,10.0,7879400.0,1030.0,5621400.0,686.0,다큐멘터리,12세이상관람가,독립/예술영화,5.5,8.84
천사는 바이러스,김성준,전주 영상위원회,주식회사 씨엠닉스,20210106,개봉영화,장편,한국,44.0,6115710.0,816.0,2404810.0,278.0,드라마,15세이상관람가,독립/예술영화,5.59,8.79
귀여운 남자,김정욱,(주)드림팩트엔터테인먼트,(주)드림팩트엔터테인먼트,20210114,개봉영화,장편,한국,41.0,4376470.0,546.0,1159370.0,136.0,코미디,15세이상관람가,독립/예술영화,5.59,5.42
사라센의 칼,임재영,대쉬 필름,(주)콘텐츠윙,20210114,개봉영화,장편,한국,14.0,3045000.0,348.0,2080900.0,217.0,드라마,15세이상관람가,독립/예술영화,3.0,8.94
요요현상,고두현,영화사 금요일,영화배급협동조합 씨네소파,20210114,개봉영화,장편,한국,27.0,7695840.0,804.0,5331640.0,516.0,다큐멘터리,전체관람가,독립/예술영화,6.75,9.04
"오늘, 우리 2","양재준,이나연,이준섭,여장천",필름다빈,필름다빈,20210121,개봉영화,장편,한국,14.0,2633200.0,317.0,2065200.0,234.0,드라마,12세이상관람가,독립/예술영화,5.5,8.0
크루아상,조성규,"(주)와우,(주)와이제이글로벌그룹",하준사,20210121,개봉영화,장편,한국,42.0,11463450.0,1221.0,7007310.0,736.0,드라마,12세이상관람가,독립/예술영화,3.33,9.18
큰엄마의 미친봉고,백승환,(주)백그림,(주)백그림,20210121,개봉영화,장편,한국,67.0,19344740.0,2802.0,7430910.0,1096.0,코미디,12세이상관람가,일반영화,6.0,6.03
세자매,이승원,(주)영화사 업,(주)리틀빅픽쳐스,20210127,개봉영화,장편,한국,569.0,354451240.0,42290.0,110117100.0,12825.0,드라마,15세이상관람가,독립/예술영화,6.8,8.69
토이 솔져스: 가짜사나이2 더 컴플리트,오윤동,씨제이포디플렉스 주식회사,씨제이포디플렉스 주식회사,20210127,개봉영화,장편,한국,155.0,75326300.0,7991.0,20692500.0,2126.0,다큐멘터리,15세이상관람가,일반영화,5.59,8.18
관계의 가나다에 있는 우리는,이인의,굿인스토리,(주)시네마달,20210128,개봉영화,장편,한국,39.0,17658070.0,2380.0,11724770.0,1499.0,드라마,전체관람가,독립/예술영화,5.5,8.3
나는 나를 해고하지 않는다,이태겸,"(주)홍시쥔,아트 윙",(주)영화사 진진,20210128,개봉영화,장편,한국,313.0,76303260.0,9660.0,35748040.0,4539.0,드라마,12세이상관람가,독립/예술영화,6.88,8.02
스트레스 제로,이대희,"(주)이대희 애니메이션스튜디오,(주)302플래닛",(주)트리플픽쳐스,20210203,개봉영화,장편,한국,157.0,65363700.0,8541.0,16812200.0,2298.0,애니메이션,전체관람가,독립/예술영화,5.6,8.45
이 안에 외계인이 있다,최은종,"조아필름,(주)와이제이글로벌그룹,파랑필름","(주)스톰픽쳐스코리아,와이드 릴리즈(주)",20210203,개봉영화,장편,한국,121.0,27116130.0,3068.0,10293650.0,1072.0,코미디,12세이상관람가,독립/예술영화,4.5,7.0
새해전야,홍지영,(주)수필름,(주)에이스메이커무비웍스,20210210,개봉영화,장편,한국,906.0,1552655580.0,168168.0,388147970.0,41828.0,멜로/로맨스,12세이상관람가,일반영화,5.67,6.98
아이,김현탁,"(주)엠씨엠씨,(주)무비락",롯데컬처웍스(주)롯데엔터테인먼트,20210210,개봉영화,장편,한국,504.0,294475020.0,37303.0,85061310.0,13701.0,드라마,15세이상관람가,일반영화,6.0,9.13
용루각2: 신들의 밤,최상훈,"(주)그노스,꿀잼컴퍼니(주)",(주)그노스,20210210,개봉영화,장편,한국,20.0,14561790.0,2435.0,7729180.0,1290.0,액션,15세이상관람가,일반영화,5.59,3.26
ARKO LIVE 뮤지컬 시데레우스,,(주)아이디어랩,(주)아이디어랩,20210211,개봉영화,장편,한국,14.0,44876500.0,2992.0,25288500.0,1686.0,뮤지컬,전체관람가,일반영화,5.59,7.44
송가인 더 드라마,"이태슬,김성윤",포켓돌스튜디오,(주)영화특별시에스엠씨,20210211,개봉영화,장편,한국,117.0,174023000.0,16100.0,50645000.0,4631.0,공연,전체관람가,일반영화,5.59,9.07
더블패티,백승환,(주)백그림,"케이티하이텔(주),판씨네마(주)",20210217,개봉영화,장편,한국,265.0,116010140.0,13341.0,43449410.0,4842.0,드라마,15세이상관람가,일반영화,5.0,6.76
미션 파서블,김형주,(주)노시스컴퍼니,(주)메리크리스마스,20210217,개봉영화,장편,한국,930.0,2989660480.0,331069.0,559680560.0,61672.0,코미디,15세이상관람가,일반영화,4.5,7.12
간이역,김정민,유한회사 간이역,(주)드림팩트엔터테인먼트,20210218,개봉영화,장편,한국,48.0,7385340.0,852.0,3262270.0,361.0,드라마,12세이상관람가,일반영화,3.5,7.2
빛과 철,배종대,"원테이크필름,영화사 새삶",찬란,20210218,개봉영화,장편,한국,161.0,68528150.0,8244.0,38640610.0,4445.0,드라마,12세이상관람가,독립/예술영화,6.83,7.96
고백,서은영,퍼레이드 픽쳐스,(주)리틀빅픽쳐스,20210224,개봉영화,장편,한국,255.0,142698000.0,20052.0,40747400.0,6196.0,드라마,15세이상관람가,독립/예술영화,5.5,6.19
아홉수 로맨스,"이새별,신효진",스토리웨이브픽쳐스,(주)스튜디오 보난자,20210224,개봉영화,장편,한국,24.0,5864680.0,608.0,4704000.0,492.0,멜로/로맨스,12세이상관람가,독립/예술영화,4.5,8.21
잃어버린 얼굴 1895,이지나,(재)서울예술단,(재)서울예술단,20210224,개봉영화,장편,한국,63.0,68572500.0,3771.0,30374000.0,1652.0,뮤지컬,전체관람가,일반영화,4.0,7.18
정브르의 동물일기,박동훈,(주)샌드박스네트워크,CGV ICECON,20210224,개봉영화,장편,한국,51.0,6640500.0,987.0,1980000.0,296.0,다큐멘터리,전체관람가,일반영화,5.59,8.5
"구라, 베토벤",봉수,(주)오씨네,목영이엔엠,20210225,개봉영화,장편,한국,11.0,15922400.0,2602.0,9727500.0,1569.0,기타,15세이상관람가,독립/예술영화,5.0,8.42
라이브 하드,황욱,키치스필름,(주)드림팩트엔터테인먼트,20210225,개봉영화,장편,한국,10.0,1445070.0,157.0,1274570.0,137.0,드라마,15세이상관람가,독립/예술영화,6.0,8.77
유공자,박상훈,이닥픽쳐스,M&M 인터내셔널,20210301,개봉영화,장편,한국,4.0,940000.0,287.0,629000.0,134.0,드라마,15세이상관람가,독립/예술영화,5.59,8.88
아르코 라이브 뮤지컬 호프,,한국문화예술위원회,(주)아이디어랩,20210303,개봉영화,장편,한국,10.0,90163000.0,4509.0,62358500.0,3118.0,공연,12세이상관람가,일반영화,5.59,7.44
UFO 스케치,김진욱,스튜디오8,(주)마노엔터테인먼트,20210304,개봉영화,장편,한국,10.0,2849500.0,404.0,1999000.0,264.0,다큐멘터리,전체관람가,독립/예술영화,7.0,9.23
멀리가지마라,박현용,"(주)파노라마이엔티,야경꾼",(주)영화사오원,20210304,개봉영화,장편,한국,34.0,7687500.0,1046.0,4210000.0,549.0,코미디,15세이상관람가,독립/예술영화,4.5,7.33
밤빛,김무영,보이드 스페이스,영화배급협동조합 씨네소파,20210304,개봉영화,장편,한국,31.0,6292110.0,772.0,3435910.0,375.0,드라마,전체관람가,독립/예술영화,6.0,7.69
인싸,이수성,"비케이 시네윈,㈜리필름","(주)액티버스엔터테인먼트,예지림엔터테인먼트",20210304,개봉영화,장편,한국,10.0,1007700.0,109.0,495500.0,49.0,액션,12세이상관람가,일반영화,5.59,4.42
그리고 방행자,손원경,주식회사 블루필름웍스,"주식회사 블루필름웍스,THE 픽쳐스",20210311,개봉영화,장편,한국,7.0,2856340.0,323.0,2622840.0,290.0,다큐멘터리,12세이상관람가,독립/예술영화,5.0,9.3
정말 먼 곳,박근영,봄내필름,그린나래미디어(주),20210318,개봉영화,장편,한국,204.0,70564880.0,8662.0,40593390.0,4818.0,드라마,12세이상관람가,독립/예술영화,7.14,7.99
파이터,윤재호,영화사 해그림 주식회사,㈜인디스토리,20210318,개봉영화,장편,한국,74.0,44138090.0,5796.0,24457750.0,3164.0,드라마,12세이상관람가,독립/예술영화,6.14,6.83
몬테크리스토: 더 뮤지컬 라이브,오윤동,씨제이포디플렉스 주식회사,"CGV ICECON,씨제이포디플렉스 주식회사",20210319,개봉영화,장편,한국,90.0,279817500.0,14528.0,120363000.0,6250.0,공연,12세이상관람가,일반영화,5.59,9.3
국카스텐 콘서트 실황 : 해프닝,,(주)인터파크,CGV ICECON,20210324,개봉영화,장편,한국,54.0,62325000.0,3485.0,34272000.0,1926.0,공연,전체관람가,일반영화,5.59,7.44
더 박스,양정웅,(주)영화사테이크,(주)씨네필운,20210324,개봉영화,장편,한국,372.0,747473730.0,93198.0,338352280.0,41533.0,드라마,12세이상관람가,독립/예술영화,5.59,7.44
최면,최재훈,(주)스마일이엔티,(주)스마일이엔티,20210324,개봉영화,장편,한국,506.0,399800610.0,44118.0,80783760.0,8773.0,공포(호러),15세이상관람가,독립/예술영화,3.5,4.84
출동! 시크릿 보틀 수호대,정연준,(주)청담러닝,씨제이포디플렉스 주식회사,20210324,개봉영화,단편,한국,10.0,1843500.0,196.0,956000.0,103.0,애니메이션,전체관람가,일반영화,5.59,7.44
트웬티 해커,한현석,(주)도어이앤엠,(주)도어이앤엠,20210324,개봉영화,장편,한국,74.0,13485500.0,2301.0,5603000.0,788.0,액션,15세이상관람가,일반영화,5.59,6.2
시 읽는 시간,이수정,생의 한가운데,(주)마노엔터테인먼트,20210325,개봉영화,장편,한국,15.0,1132900.0,155.0,697400.0,86.0,다큐멘터리,12세이상관람가,독립/예술영화,6.0,9.47
인천스텔라,백승기,꾸러기스튜디오,(주)영화사 그램,20210325,개봉영화,장편,한국,50.0,9304870.0,1060.0,6627670.0,734.0,SF,12세이상관람가,독립/예술영화,4.25,6.44
노가리,박민국,노가리필름,(주)드림팩트엔터테인먼트,20210331,개봉영화,장편,한국,4.0,990000.0,115.0,955500.0,111.0,드라마,12세이상관람가,독립/예술영화,4.0,6.64
아무도 없는 곳,김종관,볼미디어(주),(주)엣나인필름,20210331,개봉영화,장편,한국,374.0,35638410.0,5077.0,18107340.0,2435.0,드라마,15세이상관람가,독립/예술영화,5.8,6.81
자산어보,이준익,(주)씨네월드,메가박스중앙(주)플러스엠,20210331,개봉영화,장편,한국,1250.0,252848850.0,37650.0,96990870.0,13605.0,사극,12세이상관람가,일반영화,7.0,9.36
킬러파티 (양수리 살인사건),김건,씨제이 씨지브이(CJ CGV)(주),CGV ICECON,20210331,개봉영화,장편,한국,12.0,1560000.0,104.0,870000.0,58.0,공연,15세이상관람가,일반영화,5.59,9.69
턴: 더 스트릿,임석진,"(주)26컴퍼니,발키리픽처스",(주)26컴퍼니,20210331,개봉영화,장편,한국,27.0,3226000.0,414.0,2838000.0,351.0,드라마,12세이상관람가,독립/예술영화,5.59,8.23
나의 먼 가족,"한소리,이선영,김경범,오세희",주식회사 씨엠닉스,주식회사 씨엠닉스,20210401,개봉영화,옴니버스,한국,1.0,337000.0,121.0,,,기타,12세이상관람가,독립/예술영화,5.59,
당신의 사월,주현숙,(주)시네마달,(주)시네마달,20210401,개봉영화,장편,한국,59.0,45388620.0,6107.0,23171720.0,3041.0,다큐멘터리,전체관람가,독립/예술영화,6.0,4.84
더스트맨,김나경,한국예술종합학교 산학협력단,(주)트리플픽쳐스,20210407,개봉영화,장편,한국,47.0,20364780.0,3125.0,12576810.0,1895.0,드라마,12세이상관람가,독립/예술영화,5.8,7.95
아르코 라이브 무용 고요한 순환,,한국문화예술위원회,(주)아이디어랩,20210407,개봉영화,장편,한국,5.0,507000.0,48.0,293000.0,27.0,공연,12세이상관람가,일반영화,5.59,7.44
불어라 검풍아,조바른,"(주)컨텐츠 빌리지,(주)엠씨엠씨",(주)제이앤씨미디어그룹,20210408,개봉영화,장편,한국,29.0,3996870.0,442.0,2764870.0,298.0,액션,15세이상관람가,독립/예술영화,5.0,5.91
비밀의 정원,박선주,몬순픽쳐스,필름다빈,20210408,개봉영화,장편,한국,159.0,60543690.0,7515.0,31716870.0,3819.0,드라마,12세이상관람가,독립/예술영화,6.2,7.75
서복,이용주,"(주)씨제이이엔엠,(주)티피에스컴퍼니",(주)씨제이이엔엠,20210415,개봉영화,장편,한국,1382.0,3453714020.0,367563.0,943386710.0,100531.0,드라마,15세이상관람가,일반영화,5.13,6.33
내일의 기억,서유민,"(주)아이필름코퍼레이션,(주)토리픽쳐스","(주)아이필름코퍼레이션,씨제이 씨지브이(CJ CGV)(주)",20210421,개봉영화,장편,한국,957.0,1793427140.0,207232.0,457184150.0,54055.0,미스터리,15세이상관람가,일반영화,4.0,7.61
스프링 송,유준상,쥬네스엔터테인먼트,"주식회사 컨텐츠썬,(주)아우라픽처스",20210421,개봉영화,장편,한국,48.0,5844480.0,664.0,3194100.0,351.0,드라마,전체관람가,독립/예술영화,5.59,9.21
"무순, 세상을 가로질러",남승석,올록볼록 영화사,영화배급협동조합 씨네소파,20210422,개봉영화,장편,한국,17.0,5531000.0,581.0,4644000.0,480.0,다큐멘터리,전체관람가,독립/예술영화,5.67,8.45
베르나르다 알바,연태흠,(주)브이컴퍼니,(주)트리플픽쳐스,20210428,개봉영화,장편,한국,25.0,11048500.0,566.0,6959500.0,355.0,공연,15세이상관람가,일반영화,6.0,9.04
비와 당신의 이야기,조진모,(주)아지트필름,"소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,(주)키다리이엔티",20210428,개봉영화,장편,한국,956.0,687053550.0,83528.0,195085810.0,23481.0,드라마,전체관람가,일반영화,5.4,6.74
"좋은 빛, 좋은 공기",임흥순,반달,(주)엣나인필름,20210428,개봉영화,장편,한국,62.0,13837570.0,1765.0,10075100.0,1251.0,다큐멘터리,12세이상관람가,독립/예술영화,7.0,7.41
극장판 콩순이: 장난감나라 대모험,이선명,(주)모꼬지,(주)넥스트엔터테인먼트월드(NEW),20210505,개봉영화,장편,한국,690.0,653801130.0,74592.0,112841710.0,12539.0,애니메이션,전체관람가,일반영화,6.0,8.84
베르테르,조광하,(주)씨제이이엔엠,CGV ICECON,20210505,개봉영화,장편,한국,68.0,223809000.0,12646.0,81065500.0,4585.0,뮤지컬,12세이상관람가,일반영화,5.59,7.44
아이들은 즐겁다,이지원,(주)영화사울림,"메가박스중앙(주)플러스엠,(주)영화사울림",20210505,개봉영화,장편,한국,445.0,155307470.0,18163.0,48878060.0,5986.0,드라마,전체관람가,독립/예술영화,6.6,9.36
학교 가는 길,김정인,(주)마로스튜디오,(주)영화사 진진,20210505,개봉영화,장편,한국,90.0,103762710.0,13530.0,65540710.0,8169.0,다큐멘터리,12세이상관람가,독립/예술영화,5.59,7.44
내겐 너무 소중한 너,"이창원,권성모",(주)파인스토리,(주)파인스토리,20210512,개봉영화,장편,한국,449.0,199479620.0,22342.0,44281670.0,4765.0,드라마,12세이상관람가,독립/예술영화,5.0,9.24
아들의 이름으로,이정국,영화사 혼,(주)엣나인필름,20210512,개봉영화,장편,한국,423.0,202838760.0,23431.0,67224280.0,7528.0,드라마,12세이상관람가,독립/예술영화,5.0,6.58
"2021 스웨그 에이지 : 외쳐, 조선!","우진하,곽기영",(주)피엘종합기획,(주)위즈온센,20210513,개봉영화,장편,한국,34.0,32588600.0,3371.0,20904200.0,2107.0,뮤지컬,12세이상관람가,일반영화,5.59,8.32
범털 2: 쩐의 전쟁,강태호,(주)피터팬픽쳐스,(주)피터팬픽쳐스,20210513,개봉영화,장편,한국,30.0,20614890.0,3783.0,10461850.0,2269.0,범죄,15세이상관람가,일반영화,5.59,4.73
스쿨 오브 락(樂),강호준,(주)콘텐츠나무,(주)드림팩트엔터테인먼트,20210513,개봉영화,장편,한국,7.0,2997000.0,324.0,2278000.0,251.0,다큐멘터리,전체관람가,독립/예술영화,5.59,8.8
소리에 놀라지 않는 사자처럼,윤성준,스튜디오 에이에이,(주)드림팩트엔터테인먼트,20210519,개봉영화,장편,한국,8.0,975940.0,130.0,178000.0,23.0,다큐멘터리,전체관람가,일반영화,5.0,6.44
